seed,N,baseline_failure_rate,mean_pairwise_cosine,max_pairwise_cosine
42,10,0.9,0.69589,0.96475
43,10,0.8,0.61287,0.92181
44,10,0.5,0.68124,0.96865
45,10,0.9,0.67688,0.96692
46,10,0.9,0.57762,0.94618
42,20,0.95,0.76553,0.9724
43,20,0.9,0.71167,0.95264
44,20,0.65,0.74232,0.97176
45,20,0.95,0.76638,0.96966
46,20,0.95,0.70535,0.97332
42,30,0.9667,0.7818,0.97482
43,30,0.8667,0.76038,0.95264
44,30,0.9333,0.78802,0.97176
45,30,0.9667,0.77439,0.97347
46,30,0.9667,0.76892,0.97684
42,50,0.98,0.81312,0.97695
43,50,0.84,0.79209,0.96384
44,50,0.92,0.78321,0.97802
45,50,0.98,0.80312,0.97347
46,50,0.98,0.80053,0.97684
42,100,0.98,0.82732,0.97915
43,100,0.98,0.82156,0.9723
44,100,0.96,0.81127,0.98916
45,100,1.0,0.80613,0.97347
46,100,1.0,0.82537,0.97879
