N,strategy,noise_type,magnitude,mse_mean,mse_std,accuracy_mean,accuracy_std,cosine_mean,cosine_std,n_seeds,unstable_flag
10,class_balanced,flip,0.2,0.010664602756261694,0.011446304881280945,0.9,0.12247448713915893,0.9506271827220918,0.05876341130890835,5,True
10,class_balanced,gaussian,0.2,0.007130242555358742,0.009079957516854519,0.96,0.0547722557505166,0.9737154263257981,0.031196200444219335,5,False
10,class_balanced,occlusion,0.5,9.008978462733842e-13,2.0141119197845124e-12,1.0,0.0,1.0000000524520873,5.4367800944289975e-08,5,False
10,random,flip,0.2,0.034881851455257844,0.0557970002176829,0.7799999999999999,0.2280350850198276,0.9059251040220261,0.12419482069602679,5,True
10,random,gaussian,0.2,0.029818598031997677,0.04457038284419047,0.8,0.18708286933869708,0.9182011491060257,0.09752970820977251,5,True
10,random,occlusion,0.5,0.007250916084356772,0.008984106351701845,0.9,0.07071067811865474,0.9719517624378204,0.031646931885751066,5,False
50,class_balanced,flip,0.2,0.030025737775163708,0.01862332825220729,0.76,0.12727922061357855,0.8930875848531723,0.05818797048703058,5,True
50,class_balanced,gaussian,0.2,0.02001690761513087,0.01215826484287648,0.8160000000000001,0.08988882021697692,0.9254315971136094,0.03970693476763741,5,False
50,class_balanced,occlusion,0.5,0.01304520293304268,0.004962432105764767,0.8640000000000001,0.05549774770204645,0.9466522264480591,0.01731124571687292,5,False
50,random,flip,0.2,0.03320915095153462,0.01955689512460374,0.708,0.13899640283115244,0.8851276584863662,0.057199385230803236,5,True
50,random,gaussian,0.2,0.025825747746842403,0.019163795960359997,0.776,0.1299230541512937,0.9111651511192322,0.05742254249693798,5,True
50,random,occlusion,0.5,0.017702899701539387,0.010862193196085028,0.7999999999999999,0.09273618495495702,0.9305596265792847,0.039472605804191735,5,False
100,class_balanced,flip,0.2,0.044194141881280805,0.01661918755855815,0.6439999999999999,0.07266360849833978,0.859269229888916,0.039296657675511736,5,False
100,class_balanced,gaussian,0.2,0.0301615701912263,0.013561584886198848,0.748,0.06418722614352484,0.9007449032068253,0.03376883145733359,5,False
100,class_balanced,occlusion,0.5,0.024122545598258573,0.011290486534301827,0.768,0.057619441163551756,0.9128866090774537,0.0328856053444619,5,False
100,random,flip,0.2,0.05631147186322971,0.004543306253631654,0.5640000000000001,0.04098780306383838,0.8251306577920914,0.015083517577691677,5,False
100,random,gaussian,0.2,0.04953534096713085,0.008190398987519535,0.6000000000000001,0.039999999999999994,0.8458776084184645,0.018794917114544785,5,False
100,random,occlusion,0.5,0.030234804749715072,0.0098756242706219,0.708,0.07563068160475613,0.8961845673322678,0.029811259579453214,5,False
500,class_balanced,flip,0.2,0.09424226083500917,0.015837519313612866,0.3,0.0692820323027551,0.7443080985546112,0.033592298174776124,5,False
500,class_balanced,gaussian,0.2,0.07864086433830078,0.017622466890501235,0.392,0.09011104260855048,0.7860137960910797,0.03836372824528861,5,False
500,class_balanced,occlusion,0.5,0.05719066814512562,0.011584316526738775,0.45599999999999996,0.06228964600958974,0.8195771117210388,0.03606226733902067,5,False
500,random,flip,0.2,0.11836504682697262,0.054523617977410545,0.256,0.12280065146407002,0.7065195047855377,0.08047046291122482,5,True
500,random,gaussian,0.2,0.11161411471895874,0.057623414518921806,0.29600000000000004,0.1366747965061591,0.7240152114629745,0.08894937041896883,5,True
500,random,occlusion,0.5,0.07920387704228023,0.02264935157266006,0.34400000000000003,0.08173126696681018,0.7667869603633881,0.04545640146517583,5,False
1000,class_balanced,flip,0.2,0.09262225467840489,0.02045979604211519,0.23199999999999998,0.10256705123966468,0.746893691778183,0.04450085149915799,5,True
1000,class_balanced,gaussian,0.2,0.08019615548391476,0.018119989655607356,0.308,0.10158740079360234,0.7780470081567765,0.0416337611298065,5,True
1000,class_balanced,occlusion,0.5,0.07119861118268975,0.010002360523472949,0.308,0.06418722614352486,0.7786092636585236,0.028687841240564668,5,False
1000,random,flip,0.2,0.13127852420010191,0.0384800515009444,0.18000000000000002,0.09055385138137417,0.6923731640577315,0.059086515433271015,5,False
1000,random,gaussian,0.2,0.11837336844163882,0.03597124666280981,0.22400000000000003,0.1013903348450926,0.7179921995401382,0.058689655053888005,5,True
1000,random,occlusion,0.5,0.08669358353698829,0.023643292576530094,0.304,0.11610340218959994,0.7669179785251617,0.042730626857085806,5,True
