seed,N,strategy,baseline_failure_rate,raw_wb_success,conditional_wb_success,attack_attributable_rate,raw_random_failure_sigma_001,conditional_random_failure_sigma_001
42,10,random,0.1,0.1,0.0,0.0,0.1,0.0
43,10,random,0.0,0.0,0.0,0.0,0.0,0.0
44,10,random,0.0,0.0,0.0,0.0,0.0,0.0
45,10,random,0.1,0.1,0.0,0.0,0.1,0.0
46,10,random,0.1,0.1,0.0,0.0,0.1,0.0
42,10,class_balanced,0.0,0.0,0.0,0.0,0.0,0.0
43,10,class_balanced,0.0,0.0,0.0,0.0,0.0,0.0
44,10,class_balanced,0.0,0.0,0.0,0.0,0.0,0.0
45,10,class_balanced,0.0,0.0,0.0,0.0,0.0,0.0
46,10,class_balanced,0.0,0.0,0.0,0.0,0.0,0.0
42,50,random,0.06,0.06,0.0,0.0,0.06,0.0
43,50,random,0.06,0.08,0.0213,0.02,0.06,0.0
44,50,random,0.22,0.26,0.0513,0.04,0.22,0.0
45,50,random,0.04,0.06,0.0208,0.02,0.04,0.0
46,50,random,0.1,0.14,0.0444,0.04,0.1,0.0
42,50,class_balanced,0.02,0.02,0.0,0.0,0.02,0.0
43,50,class_balanced,0.08,0.1,0.0217,0.02,0.08,0.0
44,50,class_balanced,0.04,0.04,0.0,0.0,0.04,0.0
45,50,class_balanced,0.06,0.1,0.0426,0.04,0.06,0.0
46,50,class_balanced,0.0,0.0,0.0,0.0,0.0,0.0
42,100,random,0.18,0.2,0.0244,0.02,0.2,0.0244
43,100,random,0.16,0.2,0.0476,0.04,0.18,0.0238
44,100,random,0.1,0.12,0.0222,0.02,0.1,0.0
45,100,random,0.2,0.28,0.1,0.08,0.2,0.0
46,100,random,0.16,0.2,0.0476,0.04,0.18,0.0238
42,100,class_balanced,0.06,0.08,0.0213,0.02,0.06,0.0
43,100,class_balanced,0.16,0.2,0.0476,0.04,0.16,0.0
44,100,class_balanced,0.08,0.12,0.0435,0.04,0.1,0.0217
45,100,class_balanced,0.1,0.1,0.0,0.0,0.1,0.0
46,100,class_balanced,0.06,0.1,0.0426,0.04,0.08,0.0213
42,500,random,0.32,0.36,0.0588,0.04,0.34,0.0294
43,500,random,0.38,0.48,0.1613,0.1,0.42,0.0645
44,500,random,0.4,0.42,0.0333,0.02,0.4,0.0
45,500,random,0.46,0.5,0.0741,0.04,0.46,0.0
46,500,random,0.4,0.42,0.0333,0.02,0.4,0.0
42,500,class_balanced,0.32,0.4,0.1176,0.08,0.32,0.0
43,500,class_balanced,0.48,0.54,0.1154,0.06,0.48,0.0
44,500,class_balanced,0.32,0.36,0.0588,0.04,0.34,0.0294
45,500,class_balanced,0.34,0.34,0.0,0.0,0.34,0.0
46,500,class_balanced,0.4,0.42,0.0333,0.02,0.4,0.0
42,1000,random,0.56,0.66,0.2273,0.1,0.6,0.0909
43,1000,random,0.44,0.46,0.0357,0.02,0.44,0.0
44,1000,random,0.66,0.68,0.0588,0.02,0.66,0.0
45,1000,random,0.6,0.6,0.0,0.0,0.6,0.0
46,1000,random,0.36,0.42,0.0938,0.06,0.4,0.0625
42,1000,class_balanced,0.48,0.54,0.1154,0.06,0.52,0.0769
43,1000,class_balanced,0.54,0.6,0.1304,0.06,0.56,0.0435
44,1000,class_balanced,0.42,0.44,0.0345,0.02,0.42,0.0
45,1000,class_balanced,0.44,0.48,0.0714,0.04,0.44,0.0
46,1000,class_balanced,0.5,0.54,0.08,0.04,0.52,0.04
