regime,original_value_bin,adversarial_value,count,proportion,n_regime
N10_random,any,0.0,3,1.0,3
N10_random,any,0.25,0,0.0,3
N10_random,any,0.5,0,0.0,3
N10_random,any,0.75,0,0.0,3
N10_random,any,1.0,0,0.0,3
N100_class_balanced,any,0.0,13,0.4333,30
N100_class_balanced,any,0.25,0,0.0,30
N100_class_balanced,any,0.5,0,0.0,30
N100_class_balanced,any,0.75,1,0.0333,30
N100_class_balanced,any,1.0,16,0.5333,30
N1000_class_balanced,any,0.0,56,0.4308,130
N1000_class_balanced,any,0.25,3,0.0231,130
N1000_class_balanced,any,0.5,4,0.0308,130
N1000_class_balanced,any,0.75,9,0.0692,130
N1000_class_balanced,any,1.0,58,0.4462,130
all,any,0.0,266,0.4368,609
all,any,0.25,17,0.0279,609
all,any,0.5,14,0.023,609
all,any,0.75,31,0.0509,609
all,any,1.0,281,0.4614,609
all,0.0,0.0,216,0.4022,537
all,0.0,0.25,6,0.0112,537
all,0.0,0.5,12,0.0223,537
all,0.0,0.75,29,0.054,537
all,0.0,1.0,274,0.5102,537
all,0.25,0.0,2,0.25,8
all,0.25,0.25,1,0.125,8
all,0.25,0.5,0,0.0,8
all,0.25,0.75,1,0.125,8
all,0.25,1.0,4,0.5,8
all,0.5,0.0,4,0.3333,12
all,0.5,0.25,3,0.25,12
all,0.5,0.5,1,0.0833,12
all,0.5,0.75,1,0.0833,12
all,0.5,1.0,3,0.25,12
all,0.75,0.0,8,0.6154,13
all,0.75,0.25,4,0.3077,13
all,0.75,0.5,1,0.0769,13
all,0.75,0.75,0,0.0,13
all,0.75,1.0,0,0.0,13
all,1.0,0.0,36,0.9231,39
all,1.0,0.25,3,0.0769,39
all,1.0,0.5,0,0.0,39
all,1.0,0.75,0,0.0,39
all,1.0,1.0,0,0.0,39
